col0,col1,LocName,fX,fY,iConf,iLvl,id
生きいき健康センター,末吉町二之方2342-2,鹿児島県/曽於郡/末吉町/二之方,131.02908,31.63611,"2","0","1"
末吉総合体育館,末吉町諏訪方8478-1,鹿児島県/曽於市/末吉町諏訪方/８４７８番地,131.01512,31.65617,"5","7","2"
末吉小学校,末吉町上町7丁目1-1,鹿児島県/曽於市/末吉町上町/七丁目/１番,131.01988,31.64966,"5","7","3"
末吉中学校,末吉町二之方2101,鹿児島県/曽於市/末吉町二之方/２１０１番地,131.02382,31.65671,"5","7","4"
末吉中央公民館,末吉町諏訪方8598,鹿児島県/曽於郡/末吉町/諏訪方,130.99243,31.66007,"2","0","5"
高岡小学校,末吉町南之郷10150-1,鹿児島県/曽於郡/末吉町/南之郷,131.07991,31.63001,"2","0","6"
檍小学校,末吉町南之郷4060-1,鹿児島県/曽於郡/末吉町/南之郷,131.07991,31.63001,"2","0","7"
南之郷地区体育館　（旧南之郷中学校）,末吉町南之郷8130-6,鹿児島県/曽於郡/末吉町/南之郷,131.07991,31.63001,"2","0","8"
岩南小学校,末吉町岩﨑2087-1,鹿児島県/曽於郡/末吉町/岩崎,131.01556,31.61332,"4","0","9"
祝井谷連合公民館,末吉町岩﨑532-1,鹿児島県/曽於郡/末吉町/岩崎,131.01556,31.61332,"4","0","10"
岩北小学校,末吉町岩﨑3675-2,鹿児島県/曽於郡/末吉町/岩崎,131.01556,31.61332,"4","0","11"
岩﨑地区農業研修センター,末吉町岩﨑647,鹿児島県/曽於郡/末吉町/岩崎,131.01556,31.61332,"4","0","12"
岩北地区研修センター,末吉町岩﨑3661-1,鹿児島県/曽於郡/末吉町/岩崎,131.01556,31.61332,"4","0","13"
光神地区研修センター,末吉町諏訪方282,鹿児島県/曽於郡/末吉町/諏訪方,130.99243,31.66007,"2","0","14"
光神小学校,末吉町諏訪方290-1,鹿児島県/曽於郡/末吉町/諏訪方,130.99243,31.66007,"2","0","15"
諏訪地区農業研修センター,末吉町諏訪方10245-3,鹿児島県/曽於郡/末吉町/諏訪方,130.99243,31.66007,"2","0","16"
諏訪小学校,末吉町諏訪方10278-1,鹿児島県/曽於郡/末吉町/諏訪方,130.99243,31.66007,"2","0","17"
柳迫地区研修センター,末吉町深川3669-5,鹿児島県/曽於郡/末吉町/深川,130.9903,31.68967,"2","0","18"
柳迫小学校,末吉町深川3669-5,鹿児島県/曽於郡/末吉町/深川,130.9903,31.68967,"2","0","19"
深川地区農業研修センター,末吉町深川7615,鹿児島県/曽於郡/末吉町/深川,130.9903,31.68967,"2","0","20"
深川小学校,末吉町深川7549,鹿児島県/曽於郡/末吉町/深川,130.9903,31.68967,"2","0","21"
深川児童クラブ　　（旧深川幼児学園）,末吉町深川7549,鹿児島県/曽於郡/末吉町/深川,130.9903,31.68967,"2","0","22"
財部小学校,財部町北俣10882,鹿児島県/曽於市/財部町北俣/１０８８２番地,130.98987,31.72766,"5","7","23"
財部中学校,財部町北俣814,鹿児島県/曽於市/財部町北俣/８１４番地,130.98944,31.731,"5","7","24"
財部保健福祉センター,財部町南俣504-1,鹿児島県/曽於市/財部町南俣/５０４番地,130.99336,31.72413,"5","7","25"
財部農業者トレーニングセンター,財部町北俣10553-2,鹿児島県/曽於市/財部町北俣/１０５５３番地,130.98083,31.72589,"5","7","26"
財部中央公民館,財部町南俣460,鹿児島県/曽於市/財部町南俣/４６０番地,130.99141,31.72491,"5","7","27"
財部きらめきセンター,財部町南俣460-1,鹿児島県/曽於市/財部町南俣/４６０番地,130.99141,31.72491,"5","7","28"
財部南地区公民館,財部町南俣5323,鹿児島県/曽於郡/財部町/南俣,130.93286,31.69934,"2","0","29"
財部南小学校,財部町南俣5322,鹿児島県/曽於郡/財部町/南俣,130.93286,31.69934,"2","0","30"
財部北小学校,財部町北俣5521,鹿児島県/曽於郡/財部町/北俣,130.94121,31.7421,"2","0","31"
財部北地区生活改善センター,財部町下財部6650,鹿児島県/曽於郡/財部町/下財部,130.97212,31.76202,"2","0","32"
旧財部北中学校体育館,財部町北俣5410-1,鹿児島県/曽於郡/財部町/北俣,130.94121,31.7421,"2","0","33"
中谷小学校,財部町下財部5084,鹿児島県/曽於郡/財部町/下財部,130.97212,31.76202,"2","0","34"
中谷地区公民館,財部町下財部5086-2,鹿児島県/曽於郡/財部町/下財部,130.97212,31.76202,"2","0","35"
岩川小学校,大隅町岩川5747,鹿児島県/曽於市/大隅町岩川/５７４７番地,130.98601,31.59342,"5","7","36"
大隅中学校,大隅町岩川5146,鹿児島県/曽於市/大隅町岩川/５１４６番地,130.97995,31.59341,"5","7","37"
岩川地区農業構造改善センター,大隅町中之内9146,鹿児島県/曽於市/大隅町中之内/９１４６番地,130.9929,31.59826,"5","7","38"
大隅農産加工センター,大隅町下窪町30,鹿児島県/曽於郡/大隅町/下窪町,131.00325,31.58304,"2","0","39"
大隅文化会館,大隅町中之内9146,鹿児島県/曽於市/大隅町中之内/９１４６番地,130.9929,31.59826,"5","7","40"
菅牟田小学校,大隅町岩川2856-1,鹿児島県/曽於郡/大隅町/岩川,130.95656,31.60608,"2","0","41"
菅牟田農村環境改善センター,大隅町岩川2828-3,鹿児島県/曽於郡/大隅町/岩川,130.95656,31.60608,"2","0","42"
菅牟田小学校特別教室,大隅町岩川2856-1,鹿児島県/曽於郡/大隅町/岩川,130.95656,31.60608,"2","0","43"
笠木小学校,大隅町中之内5762,鹿児島県/曽於郡/大隅町/中之内,130.9682,31.63207,"2","0","44"
大隅高齢者コミュニティセンター,大隅町中之内6080-1,鹿児島県/曽於郡/大隅町/中之内,130.9682,31.63207,"2","0","45"
大隅北小学校,大隅町中之内3710-1,鹿児島県/曽於郡/大隅町/中之内,130.9682,31.63207,"2","0","46"
大隅北地区公民館,大隅町坂元473-3,鹿児島県/曽於郡/大隅町/坂元,130.90091,31.63207,"2","0","47"
神牟礼地区集会施設,大隅町坂元4046,鹿児島県/曽於郡/大隅町/坂元,130.90091,31.63207,"2","0","48"
恒吉小学校,大隅町恒吉2767-1,鹿児島県/曽於郡/大隅町/恒吉,130.91072,31.58611,"2","0","49"
恒吉地区公民館,大隅町恒吉599,鹿児島県/曽於郡/大隅町/恒吉,130.91072,31.58611,"2","0","50"
須田木地区青少年館,大隅町須田木1416,鹿児島県/曽於郡/大隅町/須田木,130.87912,31.61221,"2","0","51"
大谷地区青少年館,大隅町大谷4211-1,鹿児島県/曽於郡/大隅町/大谷,130.9373,31.59702,"2","0","52"
大隅南小学校,大隅町月野9054,鹿児島県/曽於郡/大隅町/月野,130.95277,31.56159,"2","0","53"
大隅南地区農業構造改善センター,大隅町月野8949-１,鹿児島県/曽於郡/大隅町/月野,130.99052,31.56029,"2","0","54"
月野小学校,大隅町月野7133-1,鹿児島県/曽於郡/大隅町/月野,130.99052,31.56029,"2","0","55"
月野地区公民館,大隅町月野7146-3,鹿児島県/曽於郡/大隅町/月野,130.99052,31.56029,"2","0","56"
広津田自治公民館,大隅町月野3735,鹿児島県/曽於郡/大隅町/月野,131.00269,31.5606,"2","0","57"
